task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	cpus
88	ab/74507c	65682736	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (HG008-PB)	CACHED	0	2026-01-08 20:59:04.894	1m 11s	1s	31.3%	8.7 MB	13.3 MB	12.3 MB	93.9 KB	1
60	b1/90cbab	65681846	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (COLO829-ONT)	CACHED	0	2026-01-08 17:55:09.519	10m 16s	9m 5s	345.8%	155.5 MB	614.3 MB	166.8 GB	669 B	2
117	55/8d38dd	65683936	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (HG008-ONT-TO)	CACHED	0	2026-01-08 23:46:21.282	8m 35s	7m 36s	392.9%	176.3 MB	553.4 MB	159.9 GB	704 B	2
89	e9/510216	65682737	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (HG008-PB)	CACHED	0	2026-01-08 20:59:14.914	6m 26s	5m 23s	114.3%	7.5 MB	208.4 MB	57.9 GB	5.4 KB	1
121	1a/e4474b	65683939	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (HG008-ONT-TO)	CACHED	0	2026-01-08 23:46:50.096	40.8s	0ms	68.8%	11.3 MB	16.2 MB	40.4 MB	93.9 KB	1
62	e3/970066	65681849	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (HG008-PB-TO)	CACHED	0	2026-01-08 17:55:39.509	3m 51s	3m 15s	395.9%	116.9 MB	484.1 MB	60 GB	724 B	2
87	c4/7c3b9d	65682735	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (HG008-PB)	CACHED	0	2026-01-08 20:58:56.104	4m 5s	3m 43s	385.8%	184.4 MB	549.3 MB	57.9 GB	694 B	2
91	99/2db846	65682739	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (HG008-PB)	CACHED	0	2026-01-08 20:59:34.905	2m 26s	1m 39s	503.6%	1.9 GB	2.4 GB	58.5 GB	2.8 MB	6
47	82/5cc2df	65681831	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (COLO829-PB)	CACHED	0	2026-01-08 17:52:49.521	6h 29m 11s	1h 36m 24s	1841.5%	41.9 GB	46.7 GB	982.4 GB	977.2 GB	24
122	ad/2abfa5	65683940	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (HG008-ONT-TO)	CACHED	0	2026-01-08 23:47:00.108	48m 46s	48m 16s	132.7%	10.5 GB	11 GB	159.9 GB	355.1 MB	6
90	3a/415d54	65682738	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (HG008-PB)	CACHED	0	2026-01-08 20:59:24.900	41m 51s	40m 54s	157.5%	269.3 MB	743.5 MB	57.9 GB	14.6 MB	6
45	26/706728	65681827	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (HG008-PB)	CACHED	0	2026-01-08 17:52:09.525	5h 2m 51s	1h 17m 23s	1772.3%	41.6 GB	46.8 GB	809.1 GB	804.2 GB	24
118	2d/518f3e	65683937	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (HG008-ONT-TO)	CACHED	0	2026-01-08 23:46:30.083	4m 16s	3m 14s	520.2%	1.9 GB	2.4 GB	160.8 GB	2.9 MB	6
58	28/6e3477	65681845	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (COLO829-PB)	CACHED	0	2026-01-08 17:54:59.712	5m 36s	4m 23s	333.8%	147.6 MB	612.1 MB	57.1 GB	681 B	2
132	0b/d746ef	65684031	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (COLO829-PB)	CACHED	0	2026-01-09 00:22:30.160	6m 46s	5m 35s	115.0%	7.3 MB	208.4 MB	60.3 GB	5.4 KB	1
131	d6/0a51f7	65684023	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (COLO829-PB)	CACHED	0	2026-01-09 00:22:20.151	30.8s	4s	1.7%	6.1 MB	10.5 MB	26.7 MB	94 KB	1
59	5b/444393	65681844	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (COLO829-ONT-TO)	CACHED	0	2026-01-08 17:54:49.503	8m 1s	7m 40s	343.8%	129.4 MB	486.6 MB	136.5 GB	669 B	2
48	1e/d07440	65681829	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (HG008-PB-TO)	CACHED	0	2026-01-08 17:52:29.542	5h 43m 1s	1h 29m 26s	1783.0%	42.2 GB	47.3 GB	913.5 GB	908.5 GB	24
110	b1/418be3	65683813	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (HG008-PB)	CACHED	0	2026-01-08 23:08:11.440	5m 54s	5m 3s	139.0%	7.5 MB	208.4 MB	48.7 GB	5.4 KB	1
64	2a/e47ec6	65681851	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (HG008-ONT-TO)	CACHED	0	2026-01-08 17:55:49.542	5m 51s	5m 25s	392.3%	110.5 MB	488 MB	117.1 GB	746 B	2
107	fc/86686b	65683793	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (HG008-PB)	CACHED	0	2026-01-08 22:55:30.030	38m 41s	37m 21s	153.1%	273.4 MB	747.6 MB	48.7 GB	14.2 MB	6
